ad_iD,Collector name,Shop Name,Ad name,Description,Pic,Brand,Model,Price,Type/Year,Suuq,Negotiable,state,Contact,File_name
78,Faysal,6 Muuqaal Electric,Mashiinka sharaabka ,Mashinka sharaabka oo wata 2 yaryar,https://drive.google.com/file/d/182-5W40cJrwFQqYivqdSRgzTuaAH3Cd4/view?usp=drivesdk,Saachi,NL-BL-4379,$40,,Devices,TRUE,Hagreisa,Call-511445,Muuqaal c.jpg
79,Faysal,7 Xamse furniture,goyaashii sariirta oo cusub Turkish ,goyaashii sariirta oo qurux badan iib ,https://drive.google.com/file/d/18MvWv5TduBT9iQD-yuYl8VHThbtO7bSG/view?usp=drivesdk,Turki ,TURKI,$22,,Devices,TRUE,Hagreisa,Call-063:4415775,Xamse .jpg
80,Faysal,7 Xamse furniture,waa dirayskii fadhiga oo cusub TURKI,Fadhigii guriga oo qurux badan iib,https://drive.google.com/file/d/19Qf89N8y3utLi1ZkZq3UJ6IEHUTBlxyi/view?usp=drivesdk,Turki ,TURKI,$60,,Devices,TRUE,Hagreisa,Call-063:4415775,Xamse 1.jpg
81,Faysal,7 Xamse furniture,sacadii guriga oo kafar wadata ,sacadii guriga oo kafar leh iib ,https://drive.google.com/file/d/19bgDIVcBbo7mzp-zy8Spl8ohJad4ILfC/view?usp=drivesdk,Mumu Doceiog, ZMW596,30,,Devices,TRUE,Hagreisa,Call-063:4415775,Xamse 4.jpg
82,Faysal,7 Xamse furniture,ubixii sharaxaada oo dhoobadii wata ,ubixii sharaxaada oo dhoobadii leh iib ,https://drive.google.com/file/d/17uZhXe-GGCElF_huK9VGLHArKl43Dz66/view?usp=drivesdk,vasa,vasa,$25,,Devices,TRUE,Hagreisa,Call-063:4415775,Xamse 2.jpg
83,Faysal,7 Xamse furniture,sharaxaadii hurdaya guriga ,sharaxaadii hurdada oo aad u qurux badan ,https://drive.google.com/file/d/17sgsPwantfZaGRw0J3gPya3ONR6-3ZOs/view?usp=drivesdk,home decore,home decor,$20,,Devices,TRUE,Hagreisa,Call-063:4415775,Xamse 3.jpg
84,Faysal,8 Rooda ART,Goshaalkii dumarka ,Goshaalkii dumarka oo aad u qurux badan ,https://drive.google.com/file/d/17eIWxAKH-Q9M84rBRZR1mwrhDwSXpgqR/view?usp=drivesdk,goa shaal/dumar,goa shaal,$25,,Personal Accessories,TRUE,Hagreisa,Call- 063:4680202,Rooda 3.jpg
85,Faysal,8 Rooda ART,Bustihii caruurta ,Bustihii caruurta oo vip ah ,https://drive.google.com/file/d/18zu6VDza65QPc3QD5LCfiKO2GtK7_yaw/view?usp=drivesdk,buste,buste,$30,,Personal Accessories,TRUE,Hagreisa,Call- 063:4680202,Rooda 2.jpg
86,Faysal,8 Rooda ART,Farshaxan ka samaysan ubaxyo ,Farshaxan aad u qurux badan oo ka kooban 7 xabo,https://drive.google.com/file/d/18x8wOtmEAU-97-KiNkxOXO00Cs1KhtNj/view?usp=drivesdk,wall paintings,wall paintings,$35,,Personal Accessories,TRUE,Hagreisa,Call- 063:4680202,Rooda 1.jpg
87,Faysal,8 Rooda ART,Farshaxan loo sameeyey qaabka balanbaalista ,farshaxan qaabka u eeg balanbaalis ,https://drive.google.com/file/d/18tV_uvnvbw5-n0fO2se7njBWfAwKMAU_/view?usp=drivesdk,wall paintings,wall paintings,$30,,Personal Accessories,TRUE,Hagreisa,Call- 063:4680202,Rooda .jpg
88,Faysal,8 Rooda ART,farshaxanka abwaan hadraawi,Farshaxanka abwaan hadraawi oo iib ah ,https://drive.google.com/file/d/1LGzr_vvERm0qbI-0XDgi0cGwuAXTcR0Q/view?usp=drivesdk,unbranded,unbranded,$45,,Personal Accessories,TRUE,Hagreisa,Call- 063:4680202,Rooda 5.jpg
89,Faysal,9 NASRI Fashion,sadka dumarka ,sadka dumar oo aad u qurux badan ,https://drive.google.com/file/d/1LOYg81bkmMKlrrbzQwnWbszRf0cSXlbN/view?usp=drivesdk,unbranded,unbranded,$65,,Devices,TRUE,Hagreisa,Call-063:4769046,Nasri 1.jpg
90,Faysal,9 NASRI Fashion,kabihii dumarka ,kabihii dumarka oo cirib leh,https://drive.google.com/file/d/1LtYaAiRtNAS1eU6NaY0TYZKfxY7GCKvO/view?usp=drivesdk,fashion sandals,fashion sandals,$46,,Devices,TRUE,Hagreisa,Call-063:4769046,Nasri 4.jpg
91,Faysal,9 NASRI Fashion,cadaradii raga ,cadaradii raga oo aad u udgoon ,https://drive.google.com/file/d/1LcCgyf37_CVe05ICG4TvPVkWx0SyCuJ4/view?usp=drivesdk,emper legend,emper legend,$12,,Devices,TRUE,Hagreisa,Call-063:4769046,Nasri .jpg
92,Faysal,9 NASRI Fashion,Toobabkii hablaha ,Toobabkii hablaha oo kala duwan ,https://drive.google.com/file/d/1LdYCTxlId-FAaIiNPkFy8WbjeKbK9okT/view?usp=drivesdk,unbranded,toob,$35,,Devices,TRUE,Hagreisa,Call-063:4769046,Nasri 2.jpg
